0,0
0,0,2
2,0,0
0,2,2
2,0,0
0,2,5
5,0,0
0,5,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
1,0,0
0,1,5
5,0,0
0,5,0
0,0,0
0,0,1
1,0,1
1,1,0
0,1,0
0,0,0
0,0,0
0,0,5
5,0,1
1,5,1
1,1,0
0,1,2
2,0,0
0,2,2
2,0,2
2,2
